user_pseudo_id,session_start,first_visit,page_view,scroll,click,view_search_results,file_download,video_start,video_progress,video_complete,user_engagement
1876327642.1630944288,1,1,1,0,0,0,0,0,0,0,0
720957930.1636104477,2,1,2,0,0,0,0,0,0,0,2
1599447443.1626169719,1,1,1,0,0,0,0,0,0,0,1
356425487.1624602746,1,1,6,1,0,0,0,0,0,0,3
280359169.1624603169,1,1,8,4,0,0,0,0,0,0,4
449200774.1615533316,2,1,1,0,0,0,0,0,0,0,1
1767232493.1631636102,1,1,1,1,1,0,0,0,0,0,1
1965969980.1631093986,2,1,1,1,0,0,0,0,0,0,1
1093567914.1620561074,1,1,1,0,0,0,0,0,0,0,1
1482293421.1611765861,2,1,1,1,0,0,0,0,0,0,1
1205846573.1631173276,1,1,1,1,0,0,0,0,0,0,1
19709927.1616669193,2,1,3,1,1,0,0,1,2,0,1
755329157.1623704627,1,1,1,1,0,0,0,0,0,0,1
1916358046.1603096554,13,0,17,1,0,0,0,0,0,0,4
915955484.1612225628,4,1,2,0,0,0,0,0,0,0,2
1332624591.1611249880,1,1,1,1,0,0,0,0,0,0,1
1543571859.1614602134,6,1,14,1,0,0,0,0,0,0,9
712565030.1636540286,1,1,2,2,0,0,0,0,0,0,2
1241071707.1620210378,1,1,1,1,0,0,0,0,0,0,1
1299661331.1630534020,1,1,1,0,0,0,0,0,0,0,1
292840074.1624377583,1,1,1,0,0,0,0,0,0,0,0
1101682940.1618153384,1,1,1,1,0,0,0,0,0,0,1
341800063.1614417555,1,1,1,1,0,0,0,0,0,0,1
1796361531.1632411156,2,1,2,1,0,0,0,0,0,0,2
1692601520.1633362514,2,1,1,0,0,0,0,0,0,0,1
1871656638.1625176028,1,1,1,0,0,0,0,0,0,0,1
1595112392.1628454821,2,1,1,0,0,0,0,0,0,0,1
1287634810.1625847015,1,1,1,0,0,0,0,0,0,0,0
918939078.1625865512,1,1,1,1,0,0,0,0,0,0,1
1536645117.1629195787,1,1,1,0,0,0,0,0,0,0,1
1781684958.1626322006,1,1,2,1,1,0,0,0,0,0,2
1921731203.1624076451,1,1,1,0,0,0,0,0,0,0,0
1375996804.1634845300,1,1,1,0,0,0,0,0,0,0,1
663267892.1613912230,1,1,5,3,0,0,0,2,2,0,4
1018352658.1626686383,1,1,1,1,0,0,0,0,0,0,1
342821684.1616280588,1,1,1,1,0,0,0,0,0,0,1
1019369593.1636662473,1,1,1,0,0,0,0,0,0,0,1
1147622101.1631779619,1,1,2,2,0,0,0,0,0,0,2
1708188018.1616421469,3,1,3,1,0,0,0,0,0,0,2
1069351230.1634681729,1,1,2,2,0,0,0,0,0,0,2
2053981377.1637071005,1,1,1,0,0,0,0,0,0,0,1
1690854727.1629111805,1,1,1,0,0,0,0,0,0,0,1
607696273.1632619994,2,1,2,1,0,0,0,0,0,0,0
